Date,cu_ft,kwh,propane_cost_per_gal,paid,comment
2018-04-22,11051.6,63585,N/A,N/A,Initial reading
2018-06-01,12711.3,64024,5.00,0.0,First billing
2018-07-10,13590.2,64300,2.980,321.28,2nd billing (first /w McPhail)
2018-08-05,14000.0,64450,2.980,0,"imaginary" reading early August
2018-09-03,14792.7,64605,2.980,123.29,3rd billing
2018-10-02,15721.9,64828,2.980,155.17,Sept usage
2018-11-01,16766.7,65044,2.980,119.04,Oct usage
2018-12-01,18175.7,65247,2.980,139.00,Nov usage
2018-12-27,19372.7,65440,2.980,275.23,Dec usage
2019-02-03,21632.2,65730,3.450,0,Jan usage
2019-03-01,23596.25,65921,3.450,269.52,Feb usage
2019-03-28,25227.3,66118,3.450,223.16,March usage
2019-04-29,26530.6,66318,3.450,192.31,April usage
2019-05-29,27440.7,66493,3.410,161.42,May usage
2019-07-01,28344.6,66677,3.410,118.15,June usage
2019-07-24,28770.2,66780,3.410,119.20,July usage
2019-08-28,29590.2,66959,3.410,59.10,August usage
2019-09-27,30454.0,67173,3.410,110.34,September usage
