Date,cu_ft,kwh,propane_cost_per_gal,paid,comment
2019-09-27,30454.0,67173,N/A,N/A,Initial reading
2019-11-01,31406.7,67405,3.410,0,October usage
2019-11-30,32874.5,67672,3.410,143.63,November usage
2020-01-08,35101.1,67933,3.410,0,Dec usage
2020-01-28,36290.7,68184,3.410,711.27,January usage
2020-02-28,37746.3,68395,3.410,0,Feb usage
2020-03-28,39097.4,68636,3.410,163.96,March usage
2020-04-28,40488.8,68930,3.410,183.96,April usage
2020-05-28,41512.2,69205,3.410,201.52,May usage
2020-06-28,41894.8,69401,3.410,161.94,June usage
2020-07-30,42225.3,69582,3.410,81.31,July usage
2020-08-31,42548.0,69761,3.410,72.93,Aug usage
2020-09-30,42904.5,69929,2.990,71.72,Sept usage

